N=4,,N=10,,N=20,,N=36,
Bm(mT),Pcv(kW/m^3,Bm(mT),Pcv(kW/m^3,Bm(mT),Pcv(kW/m^3,Bm(mT),Pcv(kW/m^3
4.9867,1.5058,5.0018,1.5121,20.034,27.525,5.0163,1.5395
5.9819,2.1633,6.0023,2.1929,25.028,43.121,6.0201,2.3909
6.9708,2.957,6.9843,2.9859,30.038,63.195,7.0101,3.1033
7.9996,3.9582,8.0277,4.0739,34.844,86.988,7.9934,4.0579
8.9578,5.018,9.0254,5.1774,39.968,116.95,8.8265,5.073
10.018,6.3337,10.016,6.4312,44.969,150.41,10.023,6.5329
11.07,7.7524,11.019,7.795,49.988,188.39,11.01,7.9495
11.966,9.2799,12.06,9.3687,55.196,233.04,12.003,9.4809
13.039,10.962,13.015,11.216,,,13.012,10.942
14.042,12.851,13.976,12.835,,,14.01,13.298
15.072,14.899,15.044,15.052,,,15.006,15.03
20.087,27.388,20.083,27.375,,,,
25.075,43.391,25.068,43.12,,,,
29.947,63.385,29.947,65.685,,,,
35.007,88.906,35.059,91.144,,,,
40.081,118.6,40.1,121.58,,,,
,,45.051,155.48,,,,
,,50.065,193.59,,,,
,,55.165,236.94,,,,
,,60.105,283.73,,,,
,,64.667,332.05,,,,
,,69.578,388.17,,,,
,,74.979,455.07,,,,
,,79.899,518.52,,,,
,,84.95,592.73,,,,
,,89.993,669.94,,,,
,,95.161,754.58,,,,
,,100.3,837.75,,,,
